,citing author name,citing paper title,cited paper title,affiliation,latitude,longitude,county,city,state,country
0,Akheel Mohammed, Fundamental Principles of Network Security,Consistency vs. availability in distributed cyber-physical systems,University of Cumberlands,36.7350615,-84.1708372,Whitley County,,Kentucky,United States
1,Alban GRUIN,"Efficient, predictable, and composable core for time-critical systems","UCLID5: Multi-modal formal modeling, verification, and synthesis",IRIT,31.7371585,35.1913346,,Jerusalem,Jerusalem District,Israel
2,Alberto Giretti,"The Meta Holonic Management Tree: review, steps, and roadmap to industrial Cybernetics 5.0",Consistency vs. availability in distributed cyber-physical systems,Facility Management,40.7311162,-73.5937447,Nassau County,,New York,United States
3,Alberto Giretti,"The Meta Holonic Management Tree: review, steps, and roadmap to industrial Cybernetics 5.0",Consistency vs. availability in distributed cyber-physical systems,"Professor of Model Engineering and Facility Management, Università Politecnica delle Marche",,,,,,
4,Alberto Giretti,"The Meta Holonic Management Tree: review, steps, and roadmap to industrial Cybernetics 5.0",Consistency vs. availability in distributed cyber-physical systems,Università Politecnica delle Marche,43.9206454,12.9088103,Pesaro e Urbino,Pesaro,,Italy
5,Alberto Giretti,"The Meta Holonic Management Tree: review, steps, and roadmap to industrial Cybernetics 5.0",High-performance Deterministic Concurrency Using Lingua Franca,Facility Management,40.7311162,-73.5937447,Nassau County,,New York,United States
6,Alberto Giretti,"The Meta Holonic Management Tree: review, steps, and roadmap to industrial Cybernetics 5.0",High-performance Deterministic Concurrency Using Lingua Franca,"Professor of Model Engineering and Facility Management, Università Politecnica delle Marche",,,,,,
7,Alberto Giretti,"The Meta Holonic Management Tree: review, steps, and roadmap to industrial Cybernetics 5.0",High-performance Deterministic Concurrency Using Lingua Franca,Università Politecnica delle Marche,43.9206454,12.9088103,Pesaro e Urbino,Pesaro,,Italy
8,Alberto Sangiovanni Vincentelli, Towards Enabling Deployment of Lingua Franca on Distributed Embedded Devices,Beyond the threaded programming model on real-time operating systems,Berkeley,37.8708393,-122.272863,Alameda County,Berkeley,California,United States
9,Alberto Sangiovanni Vincentelli, Towards Enabling Deployment of Lingua Franca on Distributed Embedded Devices,Beyond the threaded programming model on real-time operating systems,"Professor of EECS, University of California, Berkeley",,,,,,
